Time,Rain
1901-1,28.7
1901-2,44.7
1901-3,51.6
1901-4,160.0
1901-5,174.7
1901-6,824.6
1901-7,743.0
1901-8,357.5
1901-9,197.7
1901-10,266.9
1901-11,350.8
1901-12,48.4
1902-1,6.7
1902-2,2.6
1902-3,57.3
1902-4,83.9
1902-5,134.5
1902-6,390.9
1902-7,1205.0
1902-8,315.8
1902-9,491.6
1902-10,358.4
1902-11,158.3
1902-12,121.5
1903-1,3.2
1903-2,18.6
1903-3,3.1
1903-4,83.6
1903-5,249.7
1903-6,558.6
1903-7,1022.5
1903-8,420.2
1903-9,341.8
1903-10,354.1
1903-11,157.0
1903-12,59.0
1904-1,23.7
1904-2,3.0
1904-3,32.2
1904-4,71.5
1904-5,235.7
1904-6,1098.2
1904-7,725.5
1904-8,351.8
1904-9,222.7
1904-10,328.1
1904-11,33.9
1904-12,3.3
1905-1,1.2
1905-2,22.3
1905-3,9.4
1905-4,105.9
1905-5,263.3
1905-6,850.2
1905-7,520.5
1905-8,293.6
1905-9,217.2
1905-10,383.5
1905-11,74.4
1905-12,0.2
1906-1,26.7
1906-2,7.4
1906-3,9.9
1906-4,59.4
1906-5,160.8
1906-6,414.9
1906-7,954.2
1906-8,442.8
1906-9,131.2
1906-10,251.7
1906-11,163.1
1906-12,86.0
1907-1,18.8
1907-2,4.8
1907-3,55.7
1907-4,170.8
1907-5,101.4
1907-6,770.9
1907-7,760.4
1907-8,981.5
1907-9,225.0
1907-10,309.7
1907-11,219.1
1907-12,52.8
1908-1,8.0
1908-2,20.8
1908-3,38.2
1908-4,102.9
1908-5,142.6
1908-6,592.6
1908-7,902.2
1908-8,352.9
1908-9,175.9
1908-10,253.3
1908-11,47.9
1908-12,11.0
1909-1,54.1
1909-2,11.8
1909-3,61.3
1909-4,93.8
1909-5,473.2
1909-6,704.7
1909-7,782.3
1909-8,258.0
1909-9,195.4
1909-10,212.1
1909-11,171.1
1909-12,32.3
1910-1,2.7
1910-2,25.7
1910-3,23.3
1910-4,124.5
1910-5,148.8
1910-6,680.0
1910-7,484.1
1910-8,473.8
1910-9,248.6
1910-10,356.6
1910-11,280.4
1910-12,0.1
1911-1,3.0
1911-2,4.3
1911-3,18.2
1911-4,51.0
1911-5,180.6
1911-6,990.0
1911-7,705.3
1911-8,178.6
1911-9,60.2
1911-10,302.3
1911-11,145.7
1911-12,87.6
1912-1,1.9
1912-2,15.0
1912-3,11.2
1912-4,122.7
1912-5,217.3
1912-6,948.2
1912-7,833.6
1912-8,534.4
1912-9,136.8
1912-10,469.5
1912-11,138.7
1912-12,22.0
1913-1,3.1
1913-2,5.2
1913-3,20.7
1913-4,75.7
1913-5,198.8
1913-6,541.7
1913-7,763.2
1913-8,247.2
1913-9,176.9
1913-10,422.5
1913-11,109.9
1913-12,45.8
1914-1,0.7
1914-2,6.8
1914-3,18.1
1914-4,32.7
1914-5,164.2
1914-6,565.3
1914-7,857.7
1914-8,402.2
1914-9,241.0
1914-10,374.4
1914-11,100.9
1914-12,135.2
1915-1,16.9
1915-2,23.5
1915-3,42.7
1915-4,106.0
1915-5,154.5
1915-6,696.1
1915-7,775.6
1915-8,298.8
1915-9,396.6
1915-10,196.6
1915-11,302.5
1915-12,14.9
1916-1,0.0
1916-2,7.8
1916-3,22.0
1916-4,82.4
1916-5,199.0
1916-6,920.2
1916-7,513.9
1916-8,396.9
1916-9,339.3
1916-10,320.7
1916-11,134.3
1916-12,8.9
1917-1,2.9
1917-2,47.6
1917-3,79.4
1917-4,38.1
1917-5,122.9
1917-6,703.7
1917-7,342.7
1917-8,335.1
1917-9,470.3
1917-10,264.1
1917-11,256.4
1917-12,41.6
1918-1,42.9
1918-2,5.0
1918-3,32.8
1918-4,51.3
1918-5,683.0
1918-6,464.3
1918-7,167.5
1918-8,376.0
1918-9,96.4
1918-10,233.2
1918-11,295.4
1918-12,54.1
1919-1,43.0
1919-2,6.1
1919-3,33.9
1919-4,65.9
1919-5,247.0
1919-6,636.8
1919-7,648.0
1919-8,484.2
1919-9,255.9
1919-10,249.2
1919-11,280.1
1919-12,53.0
1920-1,35.2
1920-2,5.5
1920-3,24.1
1920-4,172.0
1920-5,87.7
1920-6,964.3
1920-7,940.8
1920-8,235.0
1920-9,178.0
1920-10,350.1
1920-11,302.3
1920-12,8.2
1921-1,43.0
1921-2,4.7
1921-3,15.0
1921-4,171.3
1921-5,104.1
1921-6,489.1
1921-7,639.8
1921-8,641.9
1921-9,156.7
1921-10,302.4
1921-11,136.2
1921-12,15.8
1922-1,30.5
1922-2,21.4
1922-3,16.3
1922-4,89.6
1922-5,293.6
1922-6,663.1
1922-7,1025.1
1922-8,320.6
1922-9,222.4
1922-10,266.3
1922-11,293.7
1922-12,25.1
1923-1,24.7
1923-2,0.7
1923-3,78.9
1923-4,43.5
1923-5,80.0
1923-6,722.5
1923-7,1008.7
1923-8,943.0
1923-9,254.3
1923-10,203.1
1923-11,83.9
1923-12,41.6
1924-1,19.3
1924-2,2.9
1924-3,66.6
1924-4,111.0
1924-5,185.4
1924-6,1011.7
1924-7,1526.5
1924-8,624.0
1924-9,289.1
1924-10,176.5
1924-11,162.9
1924-12,50.4
1925-1,4.1
1925-2,16.5
1925-3,76.9
1925-4,93.4
1925-5,258.2
1925-6,688.8
1925-7,593.5
1925-8,554.1
1925-9,158.8
1925-10,295.4
1925-11,223.7
1925-12,98.8
1926-1,28.6
1926-2,5.8
1926-3,23.1
1926-4,55.8
1926-5,222.6
1926-6,563.9
1926-7,885.2
1926-8,536.0
1926-9,322.7
1926-10,216.7
1926-11,88.8
1926-12,16.2
1927-1,18.8
1927-2,35.3
1927-3,49.6
1927-4,86.5
1927-5,265.4
1927-6,720.2
1927-7,888.2
1927-8,315.0
1927-9,335.6
1927-10,135.8
1927-11,137.6
1927-12,6.8
1928-1,12.7
1928-2,65.9
1928-3,51.3
1928-4,121.1
1928-5,81.9
1928-6,590.7
1928-7,420.6
1928-8,553.2
1928-9,75.9
1928-10,321.5
1928-11,155.2
1928-12,52.7
1929-1,12.8
1929-2,29.8
1929-3,58.9
1929-4,210.7
1929-5,148.0
1929-6,946.6
1929-7,844.0
1929-8,293.9
1929-9,268.9
1929-10,350.4
1929-11,158.2
1929-12,39.4
1930-1,10.8
1930-2,10.8
1930-3,39.0
1930-4,102.7
1930-5,404.9
1930-6,633.1
1930-7,401.7
1930-8,273.4
1930-9,411.5
1930-10,433.9
1930-11,207.0
1930-12,89.2
1931-1,3.3
1931-2,0.3
1931-3,19.2
1931-4,126.9
1931-5,131.7
1931-6,541.7
1931-7,653.9
1931-8,1199.2
1931-9,163.2
1931-10,149.3
1931-11,164.3
1931-12,106.5
1932-1,0.1
1932-2,19.3
1932-3,28.6
1932-4,113.0
1932-5,646.5
1932-6,341.0
1932-7,716.4
1932-8,423.2
1932-9,317.3
1932-10,543.2
1932-11,223.2
1932-12,31.3
1933-1,1.0
1933-2,9.3
1933-3,36.9
1933-4,139.5
1933-5,738.8
1933-6,859.3
1933-7,773.4
1933-8,479.5
1933-9,469.7
1933-10,397.0
1933-11,126.1
1933-12,42.3
1934-1,74.5
1934-2,1.7
1934-3,47.7
1934-4,92.4
1934-5,106.7
1934-6,852.9
1934-7,415.0
1934-8,337.2
1934-9,48.4
1934-10,335.9
1934-11,93.4
1934-12,4.9
1935-1,23.9
1935-2,8.3
1935-3,18.1
1935-4,120.7
1935-5,56.6
1935-6,431.3
1935-7,687.3
1935-8,280.9
1935-9,283.3
1935-10,403.8
1935-11,153.0
1935-12,30.9
1936-1,1.2
1936-2,16.5
1936-3,116.0
1936-4,34.0
1936-5,466.5
1936-6,620.8
1936-7,672.1
1936-8,367.9
1936-9,286.7
1936-10,231.7
1936-11,211.1
1936-12,18.6
1937-1,6.5
1937-2,21.2
1937-3,58.7
1937-4,175.5
1937-5,137.1
1937-6,485.6
1937-7,970.5
1937-8,281.2
1937-9,139.8
1937-10,401.9
1937-11,121.0
1937-12,19.1
1938-1,0.3
1938-2,79.0
1938-3,53.3
1938-4,164.5
1938-5,179.6
1938-6,681.6
1938-7,648.6
1938-8,287.9
1938-9,223.2
1938-10,223.7
1938-11,69.5
1938-12,22.9
1939-1,13.6
1939-2,3.6
1939-3,24.9
1939-4,172.8
1939-5,105.1
1939-6,625.8
1939-7,749.6
1939-8,459.9
1939-9,134.1
1939-10,339.8
1939-11,298.1
1939-12,10.2
1940-1,0.6
1940-2,1.5
1940-3,3.8
1940-4,126.5
1940-5,217.4
1940-6,606.4
1940-7,877.3
1940-8,610.8
1940-9,68.2
1940-10,257.7
1940-11,287.5
1940-12,60.1
1941-1,15.9
1941-2,4.6
1941-3,12.7
1941-4,101.9
1941-5,417.5
1941-6,797.6
1941-7,517.9
1941-8,458.5
1941-9,257.9
1941-10,221.6
1941-11,220.5
1941-12,84.6
1942-1,2.4
1942-2,4.7
1942-3,23.2
1942-4,180.3
1942-5,191.9
1942-6,813.6
1942-7,828.8
1942-8,329.3
1942-9,99.8
1942-10,374.4
1942-11,84.7
1942-12,117.9
1943-1,83.5
1943-2,14.6
1943-3,38.4
1943-4,107.5
1943-5,478.4
1943-6,794.5
1943-7,831.6
1943-8,183.3
1943-9,257.6
1943-10,427.2
1943-11,223.4
1943-12,24.3
1944-1,6.4
1944-2,26.6
1944-3,61.6
1944-4,61.6
1944-5,212.7
1944-6,498.9
1944-7,614.1
1944-8,230.7
1944-9,155.0
1944-10,289.0
1944-11,244.1
1944-12,89.2
1945-1,4.4
1945-2,9.9
1945-3,12.7
1945-4,104.1
1945-5,53.4
1945-6,549.8
1945-7,704.0
1945-8,351.8
1945-9,110.9
1945-10,253.8
1945-11,259.5
1945-12,18.0
1946-1,1.8
1946-2,5.4
1946-3,108.4
1946-4,139.8
1946-5,83.0
1946-6,919.0
1946-7,671.7
1946-8,695.6
1946-9,199.4
1946-10,266.1
1946-11,273.0
1946-12,202.3
1947-1,22.2
1947-2,27.3
1947-3,98.0
1947-4,142.2
1947-5,85.7
1947-6,556.1
1947-7,669.3
1947-8,739.6
1947-9,394.5
1947-10,183.7
1947-11,32.4
1947-12,47.0
1948-1,43.0
1948-2,8.3
1948-3,48.2
1948-4,125.0
1948-5,212.3
1948-6,910.2
1948-7,619.0
1948-8,487.9
1948-9,166.6
1948-10,183.9
1948-11,215.6
1948-12,19.2
1949-1,0.6
1949-2,1.8
1949-3,4.5
1949-4,98.1
1949-5,440.0
1949-6,536.3
1949-7,758.7
1949-8,445.2
1949-9,354.5
1949-10,229.1
1949-11,71.9
1949-12,1.8
1950-1,0.1
1950-2,53.7
1950-3,31.1
1950-4,68.5
1950-5,242.0
1950-6,638.3
1950-7,905.7
1950-8,387.3
1950-9,411.6
1950-10,250.4
1950-11,149.2
1950-12,8.8
1951-1,6.6
1951-2,6.5
1951-3,41.6
1951-4,175.9
1951-5,148.5
1951-6,774.1
1951-7,544.6
1951-8,190.6
1951-9,313.8
1951-10,250.6
1951-11,229.6
1951-12,23.2
1952-1,5.2
1952-2,48.2
1952-3,20.8
1952-4,112.2
1952-5,214.6
1952-6,576.7
1952-7,430.0
1952-8,413.6
1952-9,57.4
1952-10,339.6
1952-11,49.6
1952-12,66.9
1953-1,13.1
1953-2,22.6
1953-3,18.5
1953-4,132.4
1953-5,55.4
1953-6,340.5
1953-7,1027.6
1953-8,356.4
1953-9,100.5
1953-10,410.5
1953-11,62.2
1953-12,5.1
1954-1,23.5
1954-2,2.8
1954-3,90.6
1954-4,136.9
1954-5,179.5
1954-6,798.3
1954-7,640.5
1954-8,467.0
1954-9,201.6
1954-10,303.1
1954-11,31.6
1954-12,62.5
1955-1,4.2
1955-2,6.3
1955-3,28.2
1955-4,125.9
1955-5,544.2
1955-6,782.4
1955-7,392.8
1955-8,236.0
1955-9,438.5
1955-10,378.2
1955-11,178.1
1955-12,19.8
1956-1,7.9
1956-2,11.7
1956-3,15.1
1956-4,151.6
1956-5,351.3
1956-6,755.4
1956-7,466.8
1956-8,319.5
1956-9,178.4
1956-10,353.3
1956-11,178.2
1956-12,9.1
1957-1,1.2
1957-2,16.0
1957-3,25.7
1957-4,70.2
1957-5,381.2
1957-6,872.0
1957-7,835.3
1957-8,358.8
1957-9,41.3
1957-10,280.1
1957-11,192.5
1957-12,28.9
1958-1,4.4
1958-2,19.3
1958-3,57.3
1958-4,135.1
1958-5,353.5
1958-6,713.3
1958-7,622.7
1958-8,526.6
1958-9,86.1
1958-10,191.0
1958-11,206.1
1958-12,7.7
1959-1,3.0
1959-2,21.4
1959-3,6.3
1959-4,150.7
1959-5,347.2
1959-6,872.8
1959-7,1155.7
1959-8,397.3
1959-9,405.5
1959-10,200.4
1959-11,151.9
1959-12,34.0
1960-1,9.4
1960-2,8.4
1960-3,44.4
1960-4,206.6
1960-5,540.0
1960-6,480.3
1960-7,750.9
1960-8,336.8
1960-9,371.2
1960-10,255.9
1960-11,358.0
1960-12,23.7
1961-1,13.7
1961-2,31.3
1961-3,11.4
1961-4,94.1
1961-5,500.5
1961-6,1005.2
1961-7,1146.5
1961-8,678.3
1961-9,399.3
1961-10,274.2
1961-11,85.9
1961-12,17.5
1962-1,28.4
1962-2,54.7
1962-3,39.6
1962-4,95.1
1962-5,472.4
1962-6,244.9
1962-7,951.1
1962-8,510.7
1962-9,394.9
1962-10,475.6
1962-11,31.5
1962-12,76.9
1963-1,30.2
1963-2,24.8
1963-3,69.8
1963-4,96.3
1963-5,157.1
1963-6,393.3
1963-7,720.2
1963-8,511.0
1963-9,223.9
1963-10,282.6
1963-11,93.4
1963-12,48.4
1964-1,1.1
1964-2,7.8
1964-3,67.2
1964-4,83.3
1964-5,94.8
1964-6,379.4
1964-7,754.2
1964-8,548.0
1964-9,398.2
1964-10,325.7
1964-11,191.7
1964-12,17.8
1965-1,9.1
1965-2,0.9
1965-3,28.3
1965-4,109.8
1965-5,214.5
1965-6,597.7
1965-7,465.1
1965-8,296.1
1965-9,150.1
1965-10,183.7
1965-11,131.7
1965-12,155.5
1966-1,3.0
1966-2,6.9
1966-3,67.7
1966-4,167.4
1966-5,95.2
1966-6,496.2
1966-7,601.9
1966-8,202.1
1966-9,293.2
1966-10,392.3
1966-11,245.4
1966-12,50.5
1967-1,14.3
1967-2,0.1
1967-3,24.6
1967-4,70.1
1967-5,244.9
1967-6,541.7
1967-7,741.4
1967-8,508.4
1967-9,145.8
1967-10,172.7
1967-11,74.0
1967-12,31.1
1968-1,7.3
1968-2,30.5
1968-3,89.2
1968-4,133.3
1968-5,90.0
1968-6,696.4
1968-7,1308.9
1968-8,380.7
1968-9,325.4
1968-10,178.9
1968-11,119.4
1968-12,32.7
1969-1,2.7
1969-2,6.4
1969-3,19.4
1969-4,117.2
1969-5,227.4
1969-6,550.5
1969-7,818.8
1969-8,284.8
1969-9,216.4
1969-10,235.6
1969-11,119.4
1969-12,66.3
1970-1,12.9
1970-2,17.6
1970-3,25.8
1970-4,132.7
1970-5,289.1
1970-6,535.3
1970-7,558.1
1970-8,554.8
1970-9,212.5
1970-10,278.3
1970-11,80.5
1970-12,5.7
1971-1,31.6
1971-2,18.5
1971-3,20.0
1971-4,113.0
1971-5,317.5
1971-6,889.6
1971-7,648.6
1971-8,385.2
1971-9,331.2
1971-10,220.9
1971-11,38.3
1971-12,62.3
1972-1,2.6
1972-2,7.5
1972-3,2.5
1972-4,87.5
1972-5,436.0
1972-6,401.8
1972-7,714.4
1972-8,294.9
1972-9,185.7
1972-10,351.5
1972-11,140.5
1972-12,114.3
1973-1,0.0
1973-2,0.3
1973-3,12.3
1973-4,131.5
1973-5,119.9
1973-6,617.0
1973-7,583.5
1973-8,487.5
1973-9,61.3
1973-10,260.8
1973-11,84.5
1973-12,53.8
1974-1,1.6
1974-2,5.4
1974-3,16.0
1974-4,128.0
1974-5,221.5
1974-6,266.9
1974-7,1004.2
1974-8,533.6
1974-9,383.6
1974-10,142.1
1974-11,61.0
1974-12,3.6
1975-1,5.2
1975-2,21.4
1975-3,63.4
1975-4,123.8
1975-5,162.2
1975-6,864.4
1975-7,531.3
1975-8,675.9
1975-9,457.7
1975-10,368.9
1975-11,204.3
1975-12,19.9
1976-1,0.1
1976-2,1.5
1976-3,21.0
1976-4,134.5
1976-5,75.8
1976-6,196.8
1976-7,641.5
1976-8,342.6
1976-9,116.2
1976-10,221.3
1976-11,286.7
1976-12,30.8
1977-1,1.1
1977-2,15.7
1977-3,28.3
1977-4,102.3
1977-5,306.4
1977-6,599.6
1977-7,753.3
1977-8,234.2
1977-9,201.3
1977-10,437.0
1977-11,361.7
1977-12,6.7
1978-1,3.3
1978-2,14.7
1978-3,31.4
1978-4,73.9
1978-5,396.8
1978-6,758.1
1978-7,686.7
1978-8,516.8
1978-9,119.4
1978-10,171.0
1978-11,365.6
1978-12,39.0
1979-1,2.4
1979-2,30.0
1979-3,11.7
1979-4,42.0
1979-5,127.7
1979-6,582.9
1979-7,662.2
1979-8,383.7
1979-9,211.7
1979-10,163.8
1979-11,261.7
1979-12,23.3
1980-1,0.0
1980-2,0.9
1980-3,20.8
1980-4,114.8
1980-5,105.3
1980-6,745.9
1980-7,754.0
1980-8,438.1
1980-9,139.5
1980-10,282.3
1980-11,162.3
1980-12,39.5
1981-1,7.0
1981-2,6.8
1981-3,28.5
1981-4,75.9
1981-5,166.3
1981-6,912.4
1981-7,489.8
1981-8,495.6
1981-9,376.6
1981-10,265.0
1981-11,138.6
1981-12,43.3
1982-1,0.7
1982-2,0.1
1982-3,21.9
1982-4,60.4
1982-5,148.2
1982-6,612.2
1982-7,511.5
1982-8,495.0
1982-9,70.6
1982-10,164.4
1982-11,127.5
1982-12,10.8
1983-1,0.2
1983-2,1.5
1983-3,0.9
1983-4,13.1
1983-5,76.0
1983-6,322.8
1983-7,583.2
1983-8,579.9
1983-9,421.1
1983-10,136.2
1983-11,116.5
1983-12,69.1
1984-1,36.8
1984-2,60.0
1984-3,95.3
1984-4,162.1
1984-5,84.6
1984-6,842.6
1984-7,653.6
1984-8,284.4
1984-9,171.1
1984-10,286.0
1984-11,67.7
1984-12,18.0
1985-1,61.2
1985-2,6.1
1985-3,29.3
1985-4,66.6
1985-5,254.2
1985-6,828.7
1985-7,388.9
1985-8,315.3
1985-9,117.6
1985-10,204.0
1985-11,74.9
1985-12,44.0
1986-1,5.6
1986-2,18.7
1986-3,11.2
1986-4,63.1
1986-5,126.7
1986-6,597.9
1986-7,324.8
1986-8,340.3
1986-9,235.4
1986-10,165.5
1986-11,194.7
1986-12,9.5
1987-1,0.6
1987-2,0.8
1987-3,4.3
1987-4,57.2
1987-5,108.3
1987-6,572.6
1987-7,221.0
1987-8,396.6
1987-9,157.0
1987-10,272.1
1987-11,216.0
1987-12,131.1
1988-1,0.8
1988-2,17.5
1988-3,38.1
1988-4,177.6
1988-5,157.2
1988-6,511.3
1988-7,502.8
1988-8,379.8
1988-9,451.7
1988-10,68.5
1988-11,67.0
1988-12,31.1
1989-1,10.3
1989-2,0.0
1989-3,30.1
1989-4,141.5
1989-5,169.4
1989-6,657.5
1989-7,450.7
1989-8,285.5
1989-9,271.1
1989-10,308.0
1989-11,92.9
1989-12,5.6
1990-1,14.9
1990-2,4.8
1990-3,18.0
1990-4,41.8
1990-5,488.5
1990-6,528.6
1990-7,635.4
1990-8,370.8
1990-9,103.3
1990-10,323.2
1990-11,158.8
1990-12,5.2
1991-1,10.9
1991-2,4.4
1991-3,33.2
1991-4,97.0
1991-5,113.4
1991-6,1096.1
1991-7,905.5
1991-8,465.5
1991-9,48.5
1991-10,307.8
1991-11,99.9
1991-12,2.3
1992-1,2.4
1992-2,0.9
1992-3,0.1
1992-4,43.0
1992-5,218.4
1992-6,819.3
1992-7,767.8
1992-8,508.0
1992-9,297.5
1992-10,290.7
1992-11,287.6
1992-12,3.7
1993-1,0.0
1993-2,17.8
1993-3,20.1
1993-4,66.5
1993-5,159.0
1993-6,657.1
1993-7,776.1
1993-8,301.9
1993-9,88.0
1993-10,431.2
1993-11,153.8
1993-12,46.2
1994-1,24.3
1994-2,27.1
1994-3,18.1
1994-4,154.5
1994-5,141.3
1994-6,845.0
1994-7,955.5
1994-8,479.9
1994-9,212.6
1994-10,428.4
1994-11,117.6
1994-12,6.5
1995-1,10.3
1995-2,6.5
1995-3,37.3
1995-4,134.9
1995-5,355.6
1995-6,493.4
1995-7,702.5
1995-8,457.3
1995-9,280.0
1995-10,198.3
1995-11,182.6
1995-12,0.1
1996-1,2.8
1996-2,9.1
1996-3,14.4
1996-4,124.3
1996-5,74.3
1996-6,572.4
1996-7,696.0
1996-8,327.4
1996-9,342.7
1996-10,294.1
1996-11,89.9
1996-12,62.5
1997-1,2.1
1997-2,1.5
1997-3,36.1
1997-4,60.6
1997-5,133.6
1997-6,544.2
1997-7,970.5
1997-8,536.0
1997-9,292.2
1997-10,288.9
1997-11,298.4
1997-12,88.4
1998-1,6.0
1998-2,2.1
1998-3,8.1
1998-4,61.1
1998-5,151.6
1998-6,732.5
1998-7,641.4
1998-8,371.8
1998-9,517.6
1998-10,444.8
1998-11,135.0
1998-12,79.4
1999-1,1.8
1999-2,23.8
1999-3,21.4
1999-4,111.6
1999-5,453.2
1999-6,607.3
1999-7,700.4
1999-8,266.3
1999-9,88.0
1999-10,567.9
1999-11,68.1
1999-12,4.9
2000-1,11.7
2000-2,57.8
2000-3,21.5
2000-4,96.3
2000-5,124.5
2000-6,633.8
2000-7,343.2
2000-8,566.5
2000-9,195.8
2000-10,214.2
2000-11,78.1
2000-12,69.1
2001-1,16.5
2001-2,28.3
2001-3,7.0
2001-4,238.0
2001-5,238.6
2001-6,715.3
2001-7,598.5
2001-8,361.3
2001-9,216.8
2001-10,319.6
2001-11,181.0
2001-12,10.1
2002-1,4.7
2002-2,8.7
2002-3,35.7
2002-4,117.3
2002-5,330.8
2002-6,503.1
2002-7,318.7
2002-8,438.2
2002-9,99.0
2002-10,511.7
2002-11,137.5
2002-12,2.1
2003-1,0.7
2003-2,50.9
2003-3,82.1
2003-4,134.4
2003-5,91.0
2003-6,566.7
2003-7,532.0
2003-8,350.3
2003-9,93.6
2003-10,407.0
2003-11,76.4
2003-12,9.7
2004-1,2.4
2004-2,8.1
2004-3,37.9
2004-4,113.2
2004-5,610.9
2004-6,673.4
2004-7,385.4
2004-8,417.9
2004-9,192.8
2004-10,320.6
2004-11,120.7
2004-12,2.7
2005-1,19.8
2005-2,7.0
2005-3,25.3
2005-4,205.9
2005-5,134.8
2005-6,619.2
2005-7,832.7
2005-8,291.0
2005-9,414.7
2005-10,240.1
2005-11,184.3
2005-12,56.4
2006-1,8.1
2006-2,0.5
2006-3,90.7
2006-4,65.3
2006-5,521.2
2006-6,482.4
2006-7,804.0
2006-8,432.6
2006-9,474.8
2006-10,376.4
2006-11,162.8
2006-12,1.8
2007-1,0.5
2007-2,5.6
2007-3,7.3
2007-4,138.5
2007-5,192.7
2007-6,705.9
2007-7,966.3
2007-8,489.6
2007-9,526.7
2007-10,357.2
2007-11,87.4
2007-12,11.9
2008-1,0.8
2008-2,30.3
2008-3,217.2
2008-4,108.4
2008-5,81.2
2008-6,469.9
2008-7,505.1
2008-8,349.0
2008-9,347.0
2008-10,343.4
2008-11,55.4
2008-12,17.0
2009-1,3.3
2009-2,1.5
2009-3,62.6
2009-4,69.0
2009-5,191.6
2009-6,438.2
2009-7,924.9
2009-8,269.3
2009-9,326.5
2009-10,205.2
2009-11,274.4
2009-12,44.2
2010-1,18.6
2010-2,1.0
2010-3,31.4
2010-4,138.9
2010-5,190.6
2010-6,667.5
2010-7,629.0
2010-8,356.0
2010-9,275.6
2010-10,441.4
2010-11,335.1
2010-12,46.8
2011-1,20.5
2011-2,45.7
2011-3,24.1
2011-4,165.2
2011-5,124.2
2011-6,788.5
2011-7,536.8
2011-8,492.7
2011-9,391.2
2011-10,227.2
2011-11,169.7
2011-12,49.5
2012-1,7.4
2012-2,11.0
2012-3,21.0
2012-4,171.1
2012-5,95.3
2012-6,430.3
2012-7,362.6
2012-8,501.6
2012-9,241.1
2012-10,187.5
2012-11,112.9
2012-12,9.4
2013-1,3.9
2013-2,40.1
2013-3,49.9
2013-4,49.3
2013-5,119.3
2013-6,1042.7
2013-7,830.2
2013-8,369.7
2013-9,318.6
2013-10,259.9
2013-11,154.9
2013-12,17.0
2014-1,4.6
2014-2,10.3
2014-3,17.9
2014-4,95.7
2014-5,251.0
2014-6,454.4
2014-7,677.8
2014-8,733.9
2014-9,298.8
2014-10,355.5
2014-11,99.5
2014-12,47.2
2015-1,3.1
2015-2,5.8
2015-3,50.1
2015-4,214.1
2015-5,201.8
2015-6,563.6
2015-7,406.0
2015-8,252.2
2015-9,292.9
2015-10,308.1
2015-11,223.6
2015-12,79.4
